,count
GAC_exp_occ_cadical_11000001,77
GAC_exp_occ_glucose_11000001,110
GAC_exp_occ_lia_yices2_11000001,51
GAC_exp_occ_lia_z3_11000001,2
GAC_exp_occ_nbc_11000001,173
GAC_exp_occ_yices2_11000001,3
GAC_exp_occ_z3_11000001,1
GAC_occ_occ_cadical_11000001,125
GAC_occ_occ_glucose_11000001,128
GAC_occ_occ_lia_yices2_11000001,74
GAC_occ_occ_lia_z3_11000001,5
GAC_occ_occ_nbc_11000001,205
GAC_occ_occ_nia_z3_11000001,4
GAC_occ_occ_yices2_11000001,9
GAC_occ_occ_z3_11000001,3
None_exp_occ_cadical_11000001,83
None_exp_occ_glucose_11000001,110
None_exp_occ_lia_yices2_11000001,57
None_exp_occ_lia_z3_11000001,2
None_exp_occ_nbc_11000001,164
None_exp_occ_yices2_11000001,2
None_occ_occ_boolector_11000001,2
None_occ_occ_cadical_11000001,127
None_occ_occ_glucose_11000001,123
None_occ_occ_lia_yices2_11000001,80
None_occ_occ_lia_z3_11000001,5
None_occ_occ_nbc_11000001,198
None_occ_occ_nia_z3_11000001,2
None_occ_occ_yices2_11000001,8
None_occ_occ_z3_11000001,2
SACBounds_limit_exp_exp_nbc_11100001,1
SACBounds_limit_exp_occ_boolector_11000001,5
SACBounds_limit_exp_occ_cadical_11000001,94
SACBounds_limit_exp_occ_glucose_01000001,96
SACBounds_limit_exp_occ_glucose_11000001,107
SACBounds_limit_exp_occ_glucose_11100001,71
SACBounds_limit_exp_occ_glucose_11100101,54
SACBounds_limit_exp_occ_lia_yices2_11000001,57
SACBounds_limit_exp_occ_lia_z3_11000001,11
SACBounds_limit_exp_occ_minion_11000001,6
SACBounds_limit_exp_occ_nbc_10000001,57
SACBounds_limit_exp_occ_nbc_11000001,179
SACBounds_limit_exp_occ_nbc_11010001,135
SACBounds_limit_exp_occ_nbc_11100001,68
SACBounds_limit_exp_occ_nia_z3_11000001,4
SACBounds_limit_exp_occ_yices2_11000001,13
SACBounds_limit_exp_occ_z3_10000001,1
SACBounds_limit_exp_occ_z3_11000001,5
SACBounds_limit_occ_occ_boolector_11000001,9
SACBounds_limit_occ_occ_cadical_11000001,132
SACBounds_limit_occ_occ_glucose_11000001,116
SACBounds_limit_occ_occ_glucose_11000101,6
SACBounds_limit_occ_occ_glucose_11100001,104
SACBounds_limit_occ_occ_glucose_11100101,23
SACBounds_limit_occ_occ_lia_yices2_11000001,102
SACBounds_limit_occ_occ_lia_z3_11000001,20
SACBounds_limit_occ_occ_nbc_10000001,1
SACBounds_limit_occ_occ_nbc_11000001,206
SACBounds_limit_occ_occ_nbc_11100001,94
SACBounds_limit_occ_occ_nbc_11100101,13
SACBounds_limit_occ_occ_nia_z3_11000001,11
SACBounds_limit_occ_occ_yices2_11000001,23
SACBounds_limit_occ_occ_z3_11000001,7
SSACBounds_limit_exp_occ_boolector_11000001,4
SSACBounds_limit_exp_occ_cadical_11000001,38
SSACBounds_limit_exp_occ_glucose_11000001,25
SSACBounds_limit_exp_occ_lia_yices2_11000001,15
SSACBounds_limit_exp_occ_lia_z3_11000001,13
SSACBounds_limit_exp_occ_nbc_11000001,72
SSACBounds_limit_exp_occ_nia_z3_11000001,5
SSACBounds_limit_exp_occ_yices2_11000001,9
SSACBounds_limit_exp_occ_z3_11000001,4
SSACBounds_limit_occ_occ_boolector_11000001,7
SSACBounds_limit_occ_occ_cadical_11000001,54
SSACBounds_limit_occ_occ_glucose_11000001,32
SSACBounds_limit_occ_occ_lia_yices2_11000001,28
SSACBounds_limit_occ_occ_lia_z3_11000001,18
SSACBounds_limit_occ_occ_nbc_11000001,95
SSACBounds_limit_occ_occ_nia_z3_11000001,9
SSACBounds_limit_occ_occ_yices2_11000001,12
SSACBounds_limit_occ_occ_z3_10000001,1
SSACBounds_limit_occ_occ_z3_11000001,6
