system, threshold, split, rnd, time
finalf,100,0,0,63450.650711446
finalf,100,0,1,63419.255829756
finalf,100,1,0,134714.99210457798
finalf,100,1,1,113916.46513891798
finalf,100,2,0,102526.44462417
finalf,100,2,1,119219.32394217
finalf,100,3,0,84492.80543175999
finalf,100,3,1,84492.80543175999
finalf,100,4,0,53856.290872189
finalf,100,4,1,31844.38445564901
finalf,100,5,0,88135.86440542601
finalf,100,5,1,72136.706742626
finalf,150,0,0,125952.26002773999
finalf,150,0,1,125951.43419734998
finalf,150,1,0,116109.16420609801
finalf,150,1,1,116109.16420609801
finalf,150,2,0,104431.992815329
finalf,150,2,1,98325.826572329
finalf,150,3,0,103654.530708299
finalf,150,3,1,83914.31276709899
finalf,150,4,0,146978.50507628298
finalf,150,4,1,170039.297641383
finalf,150,5,0,158055.697948172
finalf,150,5,1,157522.132938172
finalf,25,0,0,116986.11747104398
finalf,25,0,1,138818.441356774
finalf,25,1,0,369014.19280077
finalf,25,1,1,347440.16815915605
finalf,25,2,0,236628.982552053
finalf,25,2,1,236584.67022748003
finalf,25,3,0,340747.10310772504
finalf,25,3,1,319853.77143864
finalf,25,4,0,370861.392263456
finalf,25,4,1,285476.56238839607
finalf,25,5,0,268913.5080055271
finalf,25,5,1,333261.829992283
finalf,50,0,0,145091.71393244303
finalf,50,0,1,121044.391685732
finalf,50,1,0,134578.0409584
finalf,50,1,1,77147.68191350998
finalf,50,2,0,88432.81335001499
finalf,50,2,1,97041.35050911496
finalf,50,3,0,172412.71164282897
finalf,50,3,1,173395.47175989
finalf,50,4,0,109760.918755948
finalf,50,4,1,109649.48972913802
finalf,50,5,0,121286.22792524702
finalf,50,5,1,139306.13764725803
finalf,66,0,0,131438.492776652
finalf,66,0,1,132634.87938156098
finalf,66,1,0,130777.59055805898
finalf,66,1,1,147069.24973592194
finalf,66,2,0,187808.46426640003
finalf,66,2,1,101905.75469525
finalf,66,3,0,59506.108715898
finalf,66,3,1,145481.96908457598
finalf,66,4,0,113824.30654902499
finalf,66,4,1,173199.08701439304
finalf,66,5,0,129774.91000498997
finalf,66,5,1,131772.77702774
vbest,100,0,-,17680.298605029002
sbs,100,0,-,85536.332108163
vbest,100,1,-,36904.895368713005
sbs,100,1,-,133282.639311687
vbest,100,2,-,31391.140382475
sbs,100,2,-,120419.21473577301
vbest,100,3,-,19123.560529275
sbs,100,3,-,84490.963682593
vbest,100,4,-,7717.472097246
sbs,100,4,-,54874.86097666999
vbest,100,5,-,32007.017375586995
sbs,100,5,-,84412.28322655802
vbest,150,0,-,19311.896616181
sbs,150,0,-,88690.62037862302
vbest,150,1,-,20238.455190398
sbs,150,1,-,96228.39099227703
vbest,150,2,-,23504.112195421003
sbs,150,2,-,106100.08647610302
vbest,150,3,-,27984.199167589
sbs,150,3,-,84864.37250992001
vbest,150,4,-,29620.082125294997
sbs,150,4,-,152091.507358852
vbest,150,5,-,25549.991702630003
sbs,150,5,-,117455.051697072
vbest,25,0,-,10667.046677448
sbs,25,0,-,54352.95232312001
vbest,25,1,-,28179.04286343
sbs,25,1,-,117086.72556338
vbest,25,2,-,21215.990192953996
sbs,25,2,-,145421.89824724296
vbest,25,3,-,26821.329119632
sbs,25,3,-,107593.561365525
vbest,25,4,-,25783.208752956998
sbs,25,4,-,80578.58646218001
vbest,25,5,-,21233.537267228
sbs,25,5,-,99939.543609207
vbest,50,0,-,27184.235803767995
sbs,50,0,-,87333.47705323299
vbest,50,1,-,22665.073019173
sbs,50,1,-,93343.80538887001
vbest,50,2,-,24701.394935455
sbs,50,2,-,108375.78392216499
vbest,50,3,-,26976.675271201002
sbs,50,3,-,126729.215184307
vbest,50,4,-,27765.946459642993
sbs,50,4,-,75918.111529118
vbest,50,5,-,16031.988628628
sbs,50,5,-,101142.406239688
vbest,66,0,-,31495.464759337003
sbs,66,0,-,134076.47502306098
vbest,66,1,-,28157.44367556
sbs,66,1,-,139638.935480575
vbest,66,2,-,14546.236594776998
sbs,66,2,-,61038.39948472001
vbest,66,3,-,14174.820080409
sbs,66,3,-,65272.524545367996
vbest,66,4,-,20907.399354027002
sbs,66,4,-,110295.054943925
vbest,66,5,-,25823.356018831008
sbs,66,5,-,105784.58301054999
